episode,steps,total_reward,success
291,200,-200.0,False
292,200,-200.0,False
293,200,-200.0,False
294,200,-200.0,False
295,200,-200.0,False
296,200,-200.0,False
297,200,-200.0,False
298,200,-200.0,False
299,200,-200.0,False
300,200,-200.0,False
301,200,-200.0,False
302,2,999.0,True
303,200,-200.0,False
304,200,-200.0,False
305,200,-200.0,False
306,200,-200.0,False
307,200,-200.0,False
308,200,-200.0,False
309,200,-200.0,False
310,200,-200.0,False
311,200,-200.0,False
312,200,-200.0,False
313,200,-200.0,False
314,200,-200.0,False
315,200,-200.0,False
316,200,-200.0,False
317,200,-200.0,False
318,200,-200.0,False
319,200,-200.0,False
320,200,-200.0,False
321,200,-200.0,False
322,200,-200.0,False
323,200,-200.0,False
324,200,-200.0,False
325,200,-200.0,False
326,200,-200.0,False
327,200,-200.0,False
328,200,-200.0,False
329,4,997.0,True
330,200,-200.0,False
331,200,-200.0,False
332,200,-200.0,False
333,200,-200.0,False
334,200,-200.0,False
335,200,-200.0,False
336,200,-200.0,False
337,200,-200.0,False
338,200,-200.0,False
339,200,-200.0,False
340,200,-200.0,False
341,200,-200.0,False
342,2,999.0,True
343,200,-200.0,False
344,2,999.0,True
345,200,-200.0,False
346,200,-200.0,False
347,200,-200.0,False
348,200,-200.0,False
349,200,-200.0,False
350,200,-200.0,False
351,200,-200.0,False
352,4,997.0,True
353,200,-200.0,False
354,200,-200.0,False
355,2,999.0,True
356,200,-200.0,False
357,200,-200.0,False
358,2,999.0,True
359,200,-200.0,False
360,200,-200.0,False
361,200,-200.0,False
362,200,-200.0,False
363,200,-200.0,False
364,200,-200.0,False
365,200,-200.0,False
366,200,-200.0,False
367,200,-200.0,False
368,2,999.0,True
369,22,979.0,True
370,200,-200.0,False
371,200,-200.0,False
372,200,-200.0,False
373,200,-200.0,False
374,200,-200.0,False
375,200,-200.0,False
376,200,-200.0,False
377,200,-200.0,False
378,200,-200.0,False
379,200,-200.0,False
380,200,-200.0,False
381,200,-200.0,False
382,200,-200.0,False
383,200,-200.0,False
384,32,969.0,True
385,200,-200.0,False
386,200,-200.0,False
387,200,-200.0,False
388,200,-200.0,False
389,200,-200.0,False
390,200,-200.0,False
391,200,-200.0,False
392,200,-200.0,False
393,200,-200.0,False
394,200,-200.0,False
395,200,-200.0,False
396,200,-200.0,False
397,200,-200.0,False
398,200,-200.0,False
399,200,-200.0,False
400,200,-200.0,False
401,200,-200.0,False
402,200,-200.0,False
403,200,-200.0,False
404,200,-200.0,False
405,200,-200.0,False
406,200,-200.0,False
407,200,-200.0,False
408,200,-200.0,False
409,200,-200.0,False
410,200,-200.0,False
411,200,-200.0,False
412,200,-200.0,False
413,200,-200.0,False
414,200,-200.0,False
415,200,-200.0,False
416,200,-200.0,False
417,200,-200.0,False
418,200,-200.0,False
419,200,-200.0,False
420,200,-200.0,False
421,200,-200.0,False
422,200,-200.0,False
423,200,-200.0,False
424,200,-200.0,False
425,200,-200.0,False
426,200,-200.0,False
427,200,-200.0,False
428,200,-200.0,False
429,200,-200.0,False
430,200,-200.0,False
431,200,-200.0,False
432,200,-200.0,False
433,200,-200.0,False
434,200,-200.0,False
435,200,-200.0,False
436,200,-200.0,False
437,200,-200.0,False
438,200,-200.0,False
439,200,-200.0,False
440,200,-200.0,False
441,200,-200.0,False
442,200,-200.0,False
443,200,-200.0,False
444,200,-200.0,False
445,200,-200.0,False
446,200,-200.0,False
447,200,-200.0,False
448,200,-200.0,False
449,200,-200.0,False
450,12,989.0,True
451,200,-200.0,False
452,200,-200.0,False
453,200,-200.0,False
454,200,-200.0,False
455,200,-200.0,False
456,200,-200.0,False
457,200,-200.0,False
458,200,-200.0,False
459,4,997.0,True
460,14,987.0,True
461,200,-200.0,False
462,200,-200.0,False
463,200,-200.0,False
464,200,-200.0,False
465,200,-200.0,False
466,8,993.0,True
467,200,-200.0,False
468,200,-200.0,False
469,200,-200.0,False
470,200,-200.0,False
471,200,-200.0,False
472,200,-200.0,False
473,14,987.0,True
474,200,-200.0,False
475,200,-200.0,False
476,6,995.0,True
477,200,-200.0,False
478,200,-200.0,False
479,200,-200.0,False
480,200,-200.0,False
481,200,-200.0,False
482,200,-200.0,False
483,200,-200.0,False
484,200,-200.0,False
485,200,-200.0,False
486,200,-200.0,False
487,200,-200.0,False
488,200,-200.0,False
489,200,-200.0,False
490,200,-200.0,False
491,200,-200.0,False
492,200,-200.0,False
493,200,-200.0,False
494,200,-200.0,False
495,200,-200.0,False
496,200,-200.0,False
497,200,-200.0,False
498,200,-200.0,False
499,200,-200.0,False
500,200,-200.0,False
501,200,-200.0,False
502,200,-200.0,False
503,200,-200.0,False
504,200,-200.0,False
505,200,-200.0,False
506,200,-200.0,False
507,200,-200.0,False
508,200,-200.0,False
509,200,-200.0,False
510,200,-200.0,False
511,200,-200.0,False
512,200,-200.0,False
513,200,-200.0,False
514,200,-200.0,False
515,200,-200.0,False
516,8,993.0,True
517,200,-200.0,False
518,20,981.0,True
519,200,-200.0,False
520,200,-200.0,False
521,200,-200.0,False
522,20,981.0,True
523,200,-200.0,False
524,200,-200.0,False
525,200,-200.0,False
526,200,-200.0,False
527,200,-200.0,False
528,200,-200.0,False
529,200,-200.0,False
530,200,-200.0,False
531,200,-200.0,False
532,200,-200.0,False
533,200,-200.0,False
534,200,-200.0,False
535,200,-200.0,False
536,200,-200.0,False
537,200,-200.0,False
538,200,-200.0,False
539,8,993.0,True
540,200,-200.0,False
541,200,-200.0,False
542,200,-200.0,False
543,200,-200.0,False
